Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
14;1000014;Форма банка (без печати работодателя);Ремонт;1;0.48;женский;1;0;высшее;специалист;>250;0;39;33;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000034;2НДФЛ;Другое;0;0.59;мужской;1;0;высшее;специалист;>250;3;32;28;Информационные технологии;ЗАО;женат / замужем;3;3;2;1;1;0;0;1;0;0;0.1666666667;4;20;200;24;3;0;5;93;0;0;0;0;0;0;0
14;1000054;Форма банка (без печати работодателя);Ремонт;0;0.2;женский;0;0;среднее-специальное;специалист;< 50;0;99;39;Торговля;ООО;женат / замужем;1;1;1;1;1;0;0;0;0;0;0.2;1;4;77;5;1;1;7;81;0;0;0;0;0;0;0
14;1000074;Поступление зарплаты на счет;Ремонт;1;0.43;мужской;1;0;высшее;специалист;>250;1;38;31;Другое;ЗАО;женат / замужем;0;0;0;0;0;0.04;0;1;0;0;0.8;4;1;48;5;3;1;4;40;1;0;0;0;0;0;0
14;1000094;2НДФЛ;Покупка автомобиля;0;0.57;женский;0;0;высшее;специалист;>250;3;107;29;Другое;ООО;женат / замужем;1;1;1;1;1;0.0406091371;1;1;0;0;0.2857142857;4;10;189;14;3;0;3;86;1;1;0;0;0;0;0
14;1000114;Форма банка (без печати работодателя);Ремонт;0;0.21;женский;1;0;среднее-специальное;менеджер высшего звена;< 50;0;190;36;Торговля;ООО;женат / замужем;4;1;0;0;0;0.0352422907;1;0;0;0;0.3076923077;4;9;219;13;3;6;13;99;1;0;0;0;0;0;0
14;1000134;2НДФЛ;Покупка недвижимости/ строительство;0;0.57;мужской;1;0;среднее-специальное;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000154;Поступление зарплаты на счет;Ремонт;0;0.35;мужской;0;0;высшее;менеджер среднего звена;>250;0;95;49;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;1;12;1;0;1;41;41;0;0;0;0;0;0;0
14;1000174;Свободная форма с печатью работодателя;Ремонт;0;0.24;мужской;1;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000194;2НДФЛ;Ремонт;1;0.11;женский;0;0;*n.a.*;менеджер высшего звена;< 50;0;69;52;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000214;Форма банка (без печати работодателя);Ремонт;1;0.3;женский;0;0;высшее;специалист;>250;0;105;34;Торговля;ООО;женат / замужем;0;0;0;0;0;0.1016949153;0;0;0;0;0.5;1;1;53;2;1;1;22;57;1;0;0;0;0;0;0
14;1000234;Форма банка (без печати работодателя);Ремонт;1;0.48;мужской;2;0;среднее-специальное;торговый представитель;>250;0;49;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000254;2НДФЛ;Ремонт;0;0.56;женский;2;0;высшее;менеджер среднего звена;< 50;0;130;30;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000274;Поступление зарплаты на счет;Покупка мебели;1;0.15;женский;2;0;среднее-специальное;специалист;>250;0;90;36;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000294;2НДФЛ;Ремонт;0;;женский;0;0;высшее;другое;;1;17;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
