Номер варианта,ID,INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage,cluster
14,1000014,4,9,1.0,0.48,0,1,0,4,7,3,0.0,39.0,33.0,9,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000034,0,0,0.0,0.59,1,1,0,4,7,3,3.0,32.0,28.0,3,2,3,3.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1666666667,4.0,20.0,200.0,24.0,3.0,0.0,5.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
14,1000054,4,9,0.0,0.2,0,0,0,7,7,1,0.0,99.0,39.0,8,6,3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,4.0,77.0,5.0,1.0,1.0,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1000074,2,9,1.0,0.43,1,1,0,4,7,3,1.0,38.0,31.0,2,2,3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,1.0,0.0,0.0,0.8,4.0,1.0,48.0,5.0,3.0,1.0,4.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000094,0,4,0.0,0.57,0,0,0,4,7,3,3.0,107.0,29.0,2,6,3,1.0,1.0,1.0,1.0,1.0,0.0406091371,1.0,1.0,0.0,0.0,0.2857142857,4.0,10.0,189.0,14.0,3.0,0.0,3.0,86.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
14,1000114,4,9,0.0,0.21,0,1,0,7,3,1,0.0,190.0,36.0,8,6,3,4.0,1.0,0.0,0.0,0.0,0.0352422907,1.0,0.0,0.0,0.0,0.3076923077,4.0,9.0,219.0,13.0,3.0,6.0,13.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
14,1000134,0,8,0.0,0.57,1,1,0,7,1,6,0.0,43.0,34.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000154,2,9,0.0,0.35,1,0,0,4,5,3,0.0,95.0,49.0,8,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,1.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1000174,3,9,0.0,0.24,1,1,0,4,7,5,0.0,43.0,34.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000194,0,9,1.0,0.11,0,0,0,0,3,1,0.0,69.0,52.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000214,4,9,1.0,0.3,0,0,0,4,7,3,0.0,105.0,34.0,8,6,3,0.0,0.0,0.0,0.0,0.0,0.1016949153,0.0,0.0,0.0,0.0,0.5,1.0,1.0,53.0,2.0,1.0,1.0,22.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1000234,4,9,1.0,0.48,1,2,0,7,9,3,0.0,49.0,34.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
